Word,Occurrences,TotalSteps,AverageSteps
laid,46,46,1.0000
month,20,40,2.0000
confessed,9,27,3.0000
confidingly,4,16,4.0000
removed,3,15,5.0000
carving,1,6,6.0000
parasol,5,35,7.0000
unforeseen,1,8,8.0000
scream,1,1,1.0000
seeing,30,60,2.0000
pantoufles,1,3,3.0000
highly,9,36,4.0000
eagles,1,5,5.0000
wary,1,6,6.0000
melodramatic,7,7,1.0000
trembling,7,14,2.0000
sincerest,2,6,3.0000
masquerade,3,12,4.0000
barred,1,5,5.0000
nowadays,3,18,6.0000
background,1,7,7.0000
admonitory,1,8,8.0000
vive,1,9,9.0000
rosebud,2,20,10.0000
neither,27,27,1.0000
rosiest,2,4,2.0000
matches,2,6,3.0000
morning,64,64,1.0000
places,10,20,2.0000
messages,5,15,3.0000
largest,1,4,4.0000
vale,1,5,5.0000
hugo,9,9,1.0000
groceries,1,2,2.0000
empress,1,3,3.0000
pinafores,2,8,4.0000
came,271,271,1.0000
remonstrated,1,2,2.0000
marole,1,3,3.0000
sixty,3,3,1.0000
statuary,1,2,2.0000
concoction,1,3,3.0000
paired,1,4,4.0000
erste,1,5,5.0000
fitness,1,1,1.0000
bluntness,1,2,2.0000
entered,7,7,1.0000
refreshing,7,14,2.0000
indian,3,9,3.0000
hugs,1,4,4.0000
opens,3,15,5.0000
friendless,1,6,6.0000
lisp,1,1,1.0000
ohs,1,2,2.0000
impressively,3,9,3.0000
appetite,4,16,4.0000
autumn,5,25,5.0000
pianee,1,6,6.0000
perusal,1,7,7.0000
idleness,1,1,1.0000
penances,1,2,2.0000
balky,1,3,3.0000
laundrywoman,1,4,4.0000
chestnut,8,8,1.0000
masterpiece,1,2,2.0000
frere,1,3,3.0000
street,20,20,1.0000
frame,6,12,2.0000
simmer,1,3,3.0000
sometimes,43,43,1.0000
waiter,1,2,2.0000
wry,2,6,3.0000
tops,2,8,4.0000
published,1,5,5.0000
cheops,1,6,6.0000
dressmaking,1,7,7.0000
spritely,1,8,8.0000
list,1,9,9.0000
hagar,11,11,1.0000
lent,4,8,2.0000
armor,2,6,3.0000
wash,14,56,4.0000
conceit,2,10,5.0000
partial,1,6,6.0000
redder,6,6,1.0000
jewels,2,4,2.0000
ventures,1,3,3.0000
preventive,1,4,4.0000
forcibly,1,5,5.0000
winey,1,6,6.0000
camp,8,8,1.0000
instant,11,22,2.0000
velour,1,3,3.0000
surprisin,1,4,4.0000
applicable,1,5,5.0000
squabbled,1,6,6.0000
servants,12,12,1.0000
unquenchables,1,2,2.0000
defects,1,3,3.0000
luxury,11,11,1.0000
brighten,4,8,2.0000
wearing,7,21,3.0000
platform,2,8,4.0000
uncovered,2,10,5.0000
judged,2,12,6.0000
pearls,5,35,7.0000
holes,2,16,8.0000
addressed,1,9,9.0000
placed,3,30,10.0000
learn,45,45,1.0000
quarrel,7,14,2.0000
redden,1,3,3.0000
spilled,1,1,1.0000
ached,4,8,2.0000
rock,1,3,3.0000
rubens,1,4,4.0000
effalunt,2,10,5.0000
quite,181,181,1.0000
travel,5,10,2.0000
final,3,9,3.0000
briton,1,4,4.0000
cakies,2,10,5.0000
cover,16,16,1.0000
carefully,23,46,2.0000
maps,3,9,3.0000
exclaim,5,20,4.0000
brighter,2,10,5.0000
publishers,2,12,6.0000
rebelliously,3,21,7.0000
spell,7,7,1.0000
ups,1,2,2.0000
notice,10,30,3.0000
heavens,2,8,4.0000
dursnt,1,5,5.0000
dryly,1,6,6.0000
orchards,1,7,7.0000
girlhood,1,8,8.0000
choose,13,13,1.0000
covet,1,2,2.0000
attended,1,3,3.0000
current,1,4,4.0000
frankness,5,25,5.0000
evolved,1,6,6.0000
injustice,2,2,1.0000
flos,2,4,2.0000
speechless,2,2,1.0000
fatherless,1,2,2.0000
intended,4,12,3.0000
waited,20,20,1.0000
dats,1,2,2.0000
excellently,6,6,1.0000
rehearsal,2,4,2.0000
newly,4,12,3.0000
banishing,1,4,4.0000
underlies,1,5,5.0000
inventor,1,6,6.0000
flow,3,3,1.0000
pancakes,1,2,2.0000
tempest,2,6,3.0000
bathed,1,4,4.0000
blazed,2,10,5.0000
objected,3,18,6.0000
thinner,1,7,7.0000
bye,2,16,8.0000
policy,1,9,9.0000
share,13,13,1.0000
adding,15,30,2.0000
escape,9,27,3.0000
brings,5,20,4.0000
ventured,1,5,5.0000
reposing,1,6,6.0000
verb,1,7,7.0000
privately,7,7,1.0000
semioccasional,1,2,2.0000
awhile,1,3,3.0000
patience,34,34,1.0000
strength,14,28,2.0000
confessing,1,3,3.0000
industrious,2,8,4.0000
viciously,1,5,5.0000
conquering,3,18,6.0000
tenders,1,7,7.0000
dignity,14,14,1.0000
slowly,33,66,2.0000
attracts,1,3,3.0000
vere,1,4,4.0000
telegrams,2,10,5.0000
graciously,8,48,6.0000
leisurely,4,28,7.0000
oil,2,16,8.0000
hymn,4,36,9.0000
volcano,4,40,10.0000
blarneystone,1,11,11.0000
bell,12,12,1.0000
humor,6,12,2.0000
confides,1,3,3.0000
screwed,1,4,4.0000
consciously,1,5,5.0000
aches,3,3,1.0000
balls,1,2,2.0000
withdrawn,2,6,3.0000
desperandum,1,4,4.0000
sure,86,86,1.0000
cane,4,8,2.0000
undone,1,3,3.0000
jewelry,1,1,1.0000
weaned,1,2,2.0000
&,1,3,3.0000
neglected,12,12,1.0000
vittles,2,4,2.0000
absent,11,33,3.0000
obstreperous,1,4,4.0000
establishing,1,5,5.0000
prisoner,3,3,1.0000
elegance,7,14,2.0000
ruffled,8,24,3.0000
coveted,5,20,4.0000
graduates,1,5,5.0000
rummaged,1,6,6.0000
magical,1,7,7.0000
slammed,2,2,1.0000
erect,5,10,2.0000
starch,2,6,3.0000
balustrade,2,8,4.0000
fatherland,1,5,5.0000
sharp,23,23,1.0000
withdrew,1,2,2.0000
unwomanly,1,3,3.0000
bags,5,5,1.0000
belt,2,4,2.0000
impossible,32,96,3.0000
wherry,1,4,4.0000
crowning,4,20,5.0000
traits,1,6,6.0000
further,9,9,1.0000
address,4,8,2.0000
resolve,6,18,3.0000
unlock,1,4,4.0000
santa,1,1,1.0000
worktable,2,4,2.0000
breakages,1,3,3.0000
concocting,1,4,4.0000
linger,1,5,5.0000
sick,34,34,1.0000
fresh,30,60,2.0000
rode,6,18,3.0000
chests,4,16,4.0000
capricious,2,10,5.0000
spire,1,1,1.0000
milkman,1,2,2.0000
streamed,2,6,3.0000
enabled,1,4,4.0000
strikes,1,5,5.0000
masterly,1,6,6.0000
vivan,1,1,1.0000
arose,4,8,2.0000
villains,1,3,3.0000
refuge,9,36,4.0000
repress,1,5,5.0000
began,153,153,1.0000
shiver,4,8,2.0000
dearer,4,12,3.0000
coral,2,8,4.0000
concerned,1,5,5.0000
joian,1,6,6.0000
frank,22,22,1.0000
2,3,6,2.0000
confided,4,12,3.0000
police,2,8,4.0000
haughty,4,20,5.0000
pulling,6,6,1.0000
italians,2,4,2.0000
housekeeping,7,21,3.0000
cant,187,187,1.0000
kind,112,224,2.0000
description,4,12,3.0000
prospect,15,60,4.0000
market,4,20,5.0000
spares,2,12,6.0000
byronic,1,7,7.0000
costing,1,1,1.0000
bracelets,2,4,2.0000
smiles,6,18,3.0000
sickness,1,4,4.0000
mantlepiece,3,15,5.0000
very,492,492,1.0000
agreeable,22,44,2.0000
regretted,9,27,3.0000
develops,1,4,4.0000
sob,7,35,5.0000
blandly,3,18,6.0000
scholar,3,21,7.0000
luggage,1,8,8.0000
writ,1,9,9.0000
king,7,7,1.0000
boys,101,202,2.0000
urgency,1,3,3.0000
moralize,1,4,4.0000
graduated,1,5,5.0000
prince,2,12,6.0000
beggin,1,1,1.0000
lifts,1,2,2.0000
expressive,5,15,3.0000
darlings,2,8,4.0000
bedside,3,15,5.0000
minnie,4,24,6.0000
precocious,4,28,7.0000
least,30,30,1.0000
countenance,15,30,2.0000
kneel,1,3,3.0000
retired,8,32,4.0000
bird,16,80,5.0000
appetites,1,6,6.0000
cheerily,1,7,7.0000
condescended,2,16,8.0000
