Word,Occurrences,TotalSteps,AverageSteps
assert,3,3,1.0000
enjoy,59,59,1.0000
quel,1,2,2.0000
motioned,1,3,3.0000
perishable,1,4,4.0000
desultory,1,5,5.0000
preparing,9,9,1.0000
wearin,2,4,2.0000
rule,6,18,3.0000
workaday,2,8,4.0000
reverie,3,15,5.0000
lighting,1,6,6.0000
outset,1,7,7.0000
coals,1,8,8.0000
mother,327,327,1.0000
should,192,384,2.0000
heeled,4,12,3.0000
grandpa,23,92,4.0000
keg,1,5,5.0000
uncomplainingly,1,6,6.0000
streamer,1,7,7.0000
bespattered,1,8,8.0000
gabble,1,9,9.0000
tempers,5,5,1.0000
tenderest,6,12,2.0000
tore,5,15,3.0000
contradick,1,4,4.0000
temper,23,23,1.0000
lake,11,22,2.0000
deared,1,3,3.0000
opportunities,3,12,4.0000
butter,7,7,1.0000
adventure,2,4,2.0000
knees,8,24,3.0000
horns,1,4,4.0000
testing,1,5,5.0000
delays,1,6,6.0000
gossip,20,20,1.0000
jeune,1,2,2.0000
flashed,3,9,3.0000
eaten,3,12,4.0000
tempted,6,30,5.0000
outbreak,1,6,6.0000
franz,4,28,7.0000
softened,6,6,1.0000
son,18,36,2.0000
flowery,2,6,3.0000
meditative,3,12,4.0000
prophetic,1,5,5.0000
spared,5,5,1.0000
daring,3,6,2.0000
fastening,2,6,3.0000
cases,3,12,4.0000
marked,7,7,1.0000
smiled,48,96,2.0000
lakes,2,6,3.0000
imperceptibly,1,1,1.0000
desire,17,17,1.0000
irksome,3,6,2.0000
worship,3,9,3.0000
swarming,1,4,4.0000
seaside,2,10,5.0000
mists,1,6,6.0000
side,53,53,1.0000
objection,4,8,2.0000
heavy,29,87,3.0000
torn,6,24,4.0000
strengthened,3,15,5.0000
confession,2,12,6.0000
denis,1,7,7.0000
direct,1,8,8.0000
contradict,1,9,9.0000
wings,4,4,1.0000
flowers,62,124,2.0000
prevent,3,9,3.0000
cultivating,1,4,4.0000
sot,1,5,5.0000
distress,1,1,1.0000
ennui,2,4,2.0000
esteem,1,3,3.0000
balmy,1,4,4.0000
distorting,1,5,5.0000
obeyed,7,7,1.0000
clapping,2,4,2.0000
relapse,1,3,3.0000
explanations,2,8,4.0000
rhine,1,5,5.0000
agreeably,1,6,6.0000
arsenic,1,1,1.0000
smiling,35,70,2.0000
ice,17,51,3.0000
chewing,2,8,4.0000
garnet,1,5,5.0000
including,1,6,6.0000
corneliuss,1,7,7.0000
chaotic,3,24,8.0000
sow,2,18,9.0000
materials,1,1,1.0000
ghostly,2,4,2.0000
pallor,1,3,3.0000
pegged,1,4,4.0000
detest,2,2,1.0000
clattering,1,2,2.0000
nurse,10,30,3.0000
clanking,1,4,4.0000
twitch,1,5,5.0000
pricking,1,6,6.0000
fools,2,14,7.0000
immortal,4,32,8.0000
vaughn,5,45,9.0000
points,6,60,10.0000
mark,1,11,11.0000
spend,19,19,1.0000
everlasting,3,6,2.0000
corners,6,18,3.0000
ellen,4,16,4.0000
bullet,1,5,5.0000
complimentary,2,12,6.0000
scrollwork,1,7,7.0000
toothbrush,1,8,8.0000
kinder,5,5,1.0000
key,10,20,2.0000
blunderbuss,1,3,3.0000
mystery,6,24,4.0000
prevail,1,5,5.0000
forgiveness,1,6,6.0000
marm,1,7,7.0000
contrasting,2,2,1.0000
produce,4,8,2.0000
vest,2,6,3.0000
trooping,1,4,4.0000
discuss,1,5,5.0000
stuart,1,1,1.0000
filling,5,10,2.0000
melted,2,6,3.0000
urn,2,8,4.0000
labyrinth,1,5,5.0000
figuratively,2,12,6.0000
ostentatiously,1,7,7.0000
ordinary,4,4,1.0000
seeds,3,6,2.0000
disillusioned,1,3,3.0000
coated,1,4,4.0000
pockets,8,8,1.0000
devonshire,1,2,2.0000
glowed,6,6,1.0000
meanwhile,6,12,2.0000
dexterity,1,3,3.0000
lacked,1,4,4.0000
sold,5,25,5.0000
misjudged,1,6,6.0000
piccadilly,1,7,7.0000
lends,1,8,8.0000
attached,2,18,9.0000
soupcon,1,1,1.0000
wholly,2,4,2.0000
committing,1,3,3.0000
joked,1,4,4.0000
bustling,1,1,1.0000
parent,3,6,2.0000
paddling,2,2,1.0000
number,8,16,2.0000
absurdity,1,3,3.0000
sauntered,1,4,4.0000
presents,10,10,1.0000
teeth,6,12,2.0000
frenchwoman,5,15,3.0000
caprices,1,4,4.0000
wiles,1,5,5.0000
cuddled,5,5,1.0000
bend,4,8,2.0000
workbasket,3,9,3.0000
womanliest,1,4,4.0000
primitive,1,5,5.0000
wrath,5,5,1.0000
deepest,3,6,2.0000
biscuits,1,3,3.0000
mantua,1,4,4.0000
gad,1,5,5.0000
describe,9,9,1.0000
wishing,13,26,2.0000
mary,6,18,3.0000
reproached,2,8,4.0000
sympathetic,3,15,5.0000
elastic,1,6,6.0000
live,38,38,1.0000
bigger,5,10,2.0000
river,29,87,3.0000
weigh,2,8,4.0000
building,2,10,5.0000
incoherently,1,6,6.0000
genial,2,14,7.0000
toiling,1,8,8.0000
silesia,2,18,9.0000
company,30,30,1.0000
auburn,1,2,2.0000
slyly,3,9,3.0000
definition,1,4,4.0000
sniff,6,6,1.0000
spent,17,34,2.0000
retainer,1,3,3.0000
rampantly,2,8,4.0000
glories,4,4,1.0000
nervously,3,6,2.0000
uttered,9,27,3.0000
womanly,11,44,4.0000
drinkables,1,5,5.0000
unpacked,1,6,6.0000
isnt,102,102,1.0000
truant,1,2,2.0000
mistress,11,33,3.0000
laertes,1,4,4.0000
objection),1,5,5.0000
sinners,3,18,6.0000
grayer,1,7,7.0000
pasting,1,8,8.0000
a,4466,4466,1.0000
pardoned,1,2,2.0000
truest,1,3,3.0000
travelled,1,4,4.0000
manners,28,28,1.0000
anybody,9,18,2.0000
popped,3,9,3.0000
fashionable,18,72,4.0000
b,1,5,5.0000
bearing,8,48,6.0000
lingered,2,14,7.0000
tusser,1,8,8.0000
russian,2,2,1.0000
c,3,6,2.0000
producing,5,15,3.0000
cavalier,1,4,4.0000
parish,1,5,5.0000
convulse,1,6,6.0000
darting,1,7,7.0000
wriggled,1,8,8.0000
uncongenial,1,9,9.0000
slashed,1,1,1.0000
wrapping,2,4,2.0000
jokes,4,12,3.0000
relation,3,12,4.0000
collared,1,5,5.0000
cheering,4,4,1.0000
deliver,8,16,2.0000
guessing,1,3,3.0000
deciding,2,8,4.0000
pearl,5,5,1.0000
amusements,2,4,2.0000
proposition,1,3,3.0000
ensued,1,4,4.0000
desolation,1,5,5.0000
use,55,55,1.0000
selfishnesses,1,2,2.0000
paglioni,1,3,3.0000
beheld,4,4,1.0000
gadding,2,4,2.0000
engraved,1,3,3.0000
i,3151,3151,1.0000
feelings,28,56,2.0000
wave,5,15,3.0000
childs,2,8,4.0000
bent,17,85,5.0000
gas,1,6,6.0000
thoughts,27,27,1.0000
question,20,40,2.0000
inspired,4,12,3.0000
scorned,1,4,4.0000
poodles,1,5,5.0000
render,3,18,6.0000
reproaches,1,7,7.0000
crooked,1,1,1.0000
toss,4,8,2.0000
patient,22,66,3.0000
tilting,1,4,4.0000
k,5,25,5.0000
petulance,1,6,6.0000
warning,8,8,1.0000
mask,3,6,2.0000
l,2,6,3.0000
driven,3,12,4.0000
uneventful,2,10,5.0000
rapid,2,12,6.0000
spite,79,79,1.0000
m,3,6,2.0000
lovers,23,69,3.0000
confiding,8,32,4.0000
future,9,45,5.0000
objecting,1,6,6.0000
exerted,2,14,7.0000
captivate,1,8,8.0000
aristocratic,10,10,1.0000
n,1,2,2.0000
tasks,4,12,3.0000
pennies,1,4,4.0000
raptures,1,5,5.0000
tile,1,6,6.0000
elysees,1,7,7.0000
jealousy,1,8,8.0000
ladylike,4,4,1.0000
gay,28,56,2.0000
o,3,9,3.0000
removing,1,4,4.0000
repining,1,1,1.0000
p,4,8,2.0000
lingerer,1,3,3.0000
twirl,1,4,4.0000
earlier,1,5,5.0000
shocked,2,2,1.0000
caps,3,6,2.0000
crew,1,3,3.0000
yelped,1,4,4.0000
petulant,1,5,5.0000
disappeared,7,7,1.0000
melting,1,2,2.0000
repulsed,1,3,3.0000
argued,1,4,4.0000
jardin,1,5,5.0000
opera,6,6,1.0000
s,3,6,2.0000
impartial,1,3,3.0000
overlook,1,4,4.0000
illustrations,1,5,5.0000
some,267,267,1.0000
dawn,4,8,2.0000
firin,1,3,3.0000
t,1,4,4.0000
telegraph,5,25,5.0000
odds,2,12,6.0000
plum,2,14,7.0000
mass,3,24,8.0000
diplomatically,1,9,9.0000
suggestion,3,30,10.0000
till,190,190,1.0000
kennst,1,2,2.0000
covered,24,24,1.0000
wasted,7,14,2.0000
aforesaid,2,6,3.0000
lobsters,1,4,4.0000
old,378,378,1.0000
perhaps,36,72,2.0000
imaginary,8,24,3.0000
listless,4,16,4.0000
attractive,10,50,5.0000
mis,3,18,6.0000
arranging,2,14,7.0000
relate,1,8,8.0000
reread,2,18,9.0000
bowing,2,2,1.0000
falls,4,8,2.0000
discovered,24,72,3.0000
inspirer,1,4,4.0000
mit,1,5,5.0000
devoted,26,26,1.0000
affliction,9,18,2.0000
efforts,20,60,3.0000
pranks,7,28,4.0000
clinging,4,20,5.0000
centerpiece,1,6,6.0000
roadside,1,7,7.0000
finds,6,6,1.0000
fright,7,14,2.0000
solemn,8,24,3.0000
sincerity,2,8,4.0000
recited,1,5,5.0000
lamb,8,48,6.0000
prominent,2,14,7.0000
haste,6,6,1.0000
spits,1,2,2.0000
attic,1,3,3.0000
strolls,1,4,4.0000
mix,1,1,1.0000
peoples,12,24,2.0000
anyhow,1,3,3.0000
avoided,2,8,4.0000
rung,1,5,5.0000
others,52,52,1.0000
lame,6,12,2.0000
wavy,2,6,3.0000
birthday,5,20,4.0000
betokens,1,5,5.0000
mysterious,11,11,1.0000
perpetual,5,10,2.0000
handful,3,9,3.0000
deliberately,2,8,4.0000
conscience,10,50,5.0000
baden,4,24,6.0000
wisely,7,7,1.0000
illusion,3,6,2.0000
readers,5,5,1.0000
slough,2,4,2.0000
refrigerator,2,6,3.0000
dashing,4,16,4.0000
varying,1,5,5.0000
outdone,1,6,6.0000
elle,1,7,7.0000
fabers,1,1,1.0000
applause,4,8,2.0000
demonstration,2,6,3.0000
pastime,2,8,4.0000
havent,51,51,1.0000
knives,1,2,2.0000
buyer,1,1,1.0000
slippery,2,2,1.0000
receptacle,1,2,2.0000
forbearance,1,3,3.0000
glorify,1,4,4.0000
giggle,2,2,1.0000
outgrew,1,2,2.0000
mate,3,9,3.0000
liberties,3,12,4.0000
yander,1,5,5.0000
bits,12,12,1.0000
guitar,1,2,2.0000
discontented,6,18,3.0000
leave,66,66,1.0000
toast,6,12,2.0000
interested,19,57,3.0000
nimble,1,4,4.0000
treated,6,30,5.0000
thanksgiving,1,6,6.0000
trumpet,2,14,7.0000
whisky,1,8,8.0000
lamp,7,7,1.0000
advice,26,52,2.0000
consumed,1,3,3.0000
runs,3,12,4.0000
standish,2,10,5.0000
unbelieving,1,6,6.0000
query,1,7,7.0000
jouvins,1,8,8.0000
strong,51,51,1.0000
snood,1,2,2.0000
slippers,22,22,1.0000
way),1,2,2.0000
brooms,3,9,3.0000
sentimentlly,1,4,4.0000
greatly,3,15,5.0000
imitation,3,18,6.0000
seeking,1,7,7.0000
vessel,1,8,8.0000
peopled,1,1,1.0000
sketched,3,6,2.0000
victorious,2,6,3.0000
schillers,2,8,4.0000
husband,34,170,5.0000
spices,1,6,6.0000
presentable,1,7,7.0000
consuls,1,8,8.0000
gayly,2,2,1.0000
imploringly,3,6,2.0000
disapproving,1,3,3.0000
consult,3,12,4.0000
spending,4,20,5.0000
time,319,319,1.0000
anyway,5,10,2.0000
bravely,13,39,3.0000
seal,4,16,4.0000
discouragements,1,5,5.0000
salts,1,6,6.0000
childlike,1,7,7.0000
affectations,2,16,8.0000
round,89,89,1.0000
meantime,7,14,2.0000
declined,3,9,3.0000
coddling,1,4,4.0000
fitly,2,10,5.0000
seam,1,6,6.0000
difficult,5,35,7.0000
shapes,1,8,8.0000
hasty,12,12,1.0000
rankled,2,4,2.0000
confused,2,6,3.0000
reception,6,24,4.0000
period,4,20,5.0000
roofs,1,6,6.0000
debate,1,7,7.0000
gingerbread,8,8,1.0000
smuggled,1,2,2.0000
scraped,1,3,3.0000
epitaphs,1,4,4.0000
marmee,43,43,1.0000
mignons,1,2,2.0000
streak,3,3,1.0000
stabbing,2,4,2.0000
department,2,6,3.0000
rewarded,2,8,4.0000
wants,13,13,1.0000
switzerland,6,12,2.0000
italy,3,9,3.0000
satisfy,12,48,4.0000
mats,2,10,5.0000
dishcloths,2,12,6.0000
salty,1,7,7.0000
relevant,1,8,8.0000
quizzing,1,9,9.0000
cookery,1,1,1.0000
harbor,1,2,2.0000
sift,1,3,3.0000
answering,2,8,4.0000
seat,25,25,1.0000
song,16,32,2.0000
quantity,4,12,3.0000
survey,2,2,1.0000
flints,1,2,2.0000
barricading,1,3,3.0000
thrashed,1,1,1.0000
theirs,4,8,2.0000
protection,5,15,3.0000
holders,2,8,4.0000
unselfish,4,20,5.0000
confidences,3,18,6.0000
dolls,13,13,1.0000
forlorn,8,16,2.0000
morals,3,9,3.0000
corporal,1,4,4.0000
tinkling,1,5,5.0000
needlebook,1,6,6.0000
rapidly,10,10,1.0000
destitute,2,4,2.0000
threaded,1,3,3.0000
strife,1,4,4.0000
businessman,3,3,1.0000
cluster,2,4,2.0000
unshelled,1,3,3.0000
blued,1,4,4.0000
sketches,5,25,5.0000
tightened,1,6,6.0000
debonair,1,7,7.0000
drenching,1,8,8.0000
land,9,9,1.0000
ceremonious,1,2,2.0000
coventrys,1,3,3.0000
kitchen,25,25,1.0000
flirted,5,10,2.0000
jumping,1,3,3.0000
writes,4,16,4.0000
lane,2,10,5.0000
consume,1,6,6.0000
sanginary,1,7,7.0000
skim,2,16,8.0000
shaped,1,1,1.0000
skin,3,6,2.0000
ribbons,9,27,3.0000
lumpy,1,4,4.0000
shrine,4,20,5.0000
writer,2,12,6.0000
tact,5,5,1.0000
dolly,1,2,2.0000
aint,11,33,3.0000
instantly,3,12,4.0000
expectant,2,10,5.0000
slighted,1,6,6.0000
irritable,2,14,7.0000
tenderly,26,26,1.0000
scrapes,5,10,2.0000
skip,2,6,3.0000
hanging,6,6,1.0000
seasons,1,2,2.0000
card,4,12,3.0000
alarmed,5,20,4.0000
injured,14,14,1.0000
care,125,250,2.0000
chanted,1,3,3.0000
curtained,3,12,4.0000
sons,2,10,5.0000
motionless,3,18,6.0000
repressed,1,7,7.0000
beste,1,8,8.0000
display,6,6,1.0000
gliding,2,4,2.0000
contradictions,1,3,3.0000
stifled,2,2,1.0000
protestations,1,2,2.0000
appeared,48,48,1.0000
history,6,12,2.0000
ashore,1,3,3.0000
grocer,1,4,4.0000
calmly,3,15,5.0000
mirrors,1,6,6.0000
retire,1,1,1.0000
match,11,22,2.0000
luxuries,1,3,3.0000
remained,11,44,4.0000
extravagant,1,5,5.0000
chronic,1,1,1.0000
parkss,1,2,2.0000
disgraced,5,15,3.0000
demoiselles,2,8,4.0000
withdraw,1,5,5.0000
livelier,1,6,6.0000
weeds,1,7,7.0000
beethoven,1,8,8.0000
sigh,26,26,1.0000
might,115,230,2.0000
place,99,297,3.0000
unprofitable,1,4,4.0000
india,3,15,5.0000
judge,1,6,6.0000
warmth,7,49,7.0000
exulting,1,1,1.0000
tour,5,10,2.0000
charmingly,2,6,3.0000
tina,15,60,4.0000
commons,1,5,5.0000
bluer,1,6,6.0000
less,19,19,1.0000
reveled,4,8,2.0000
restrained,7,21,3.0000
philandering,3,12,4.0000
pocket,27,27,1.0000
lest,10,20,2.0000
hinted,4,12,3.0000
derangement,1,4,4.0000
doubly,2,2,1.0000
otherwise,5,5,1.0000
indignation,6,12,2.0000
diaphanous,1,3,3.0000
sign,17,17,1.0000
garland,4,8,2.0000
chloe,1,3,3.0000
radiance,1,4,4.0000
spatted,1,5,5.0000
sturdy,1,6,6.0000
seating,1,7,7.0000
hundred,8,8,1.0000
envious,1,1,1.0000
shroud,3,6,2.0000
mentor,3,9,3.0000
preachment,1,4,4.0000
lowering,1,5,5.0000
cart,1,1,1.0000
imitating,3,6,2.0000
tongues,5,5,1.0000
tink,2,2,1.0000
slumber,2,4,2.0000
collar,4,4,1.0000
badge,2,4,2.0000
squashes,1,3,3.0000
provoking,3,12,4.0000
wearer,2,2,1.0000
distinguished,3,6,2.0000
awaiting,1,3,3.0000
sonata,1,4,4.0000
alighted,1,5,5.0000
abruptly,6,6,1.0000
currant,2,4,2.0000
one,706,706,1.0000
bureau,3,6,2.0000
ear,11,33,3.0000
pause,20,80,4.0000
safely,10,50,5.0000
pounding,1,6,6.0000
extent,3,21,7.0000
assent,1,8,8.0000
indulgent,1,9,9.0000
days,52,52,1.0000
chickweed,2,4,2.0000
shield,5,15,3.0000
pinched,1,4,4.0000
bald,2,10,5.0000
chafed,1,6,6.0000
shouting,1,7,7.0000
eat,29,29,1.0000
palatable,1,2,2.0000
commissions,2,6,3.0000
trouble,56,56,1.0000
newborn,1,2,2.0000
clean,2,6,3.0000
expulsion,1,4,4.0000
observations,1,5,5.0000
ducking,1,6,6.0000
heros,1,7,7.0000
romeo,1,1,1.0000
sparkle,3,6,2.0000
faithful,11,11,1.0000
soon,121,242,2.0000
beseech,1,3,3.0000
poles,1,4,4.0000
frequently,3,15,5.0000
notebook,1,6,6.0000
kirkes,2,14,7.0000
charitable,1,8,8.0000
taking,44,44,1.0000
clashed,3,6,2.0000
hortense,3,9,3.0000
savagely,1,4,4.0000
socrates,1,5,5.0000
suffering,7,7,1.0000
empty,20,40,2.0000
sparkling,1,3,3.0000
salve,1,4,4.0000
farmer,1,5,5.0000
clear,9,54,6.0000
eatin,1,7,7.0000
darkly,6,48,8.0000
sartor,1,9,9.0000
learning,24,24,1.0000
begged,18,36,2.0000
silks,1,3,3.0000
grammatical,1,4,4.0000
beneficial,1,5,5.0000
ball,24,24,1.0000
quit,1,2,2.0000
whats,16,48,3.0000
rubbing,2,8,4.0000
fortune,23,115,5.0000
ache,4,24,6.0000
double,5,35,7.0000
perform,2,16,8.0000
superstition,1,9,9.0000
dimple,1,10,10.0000
hump,1,1,1.0000
case,8,16,2.0000
balm,3,9,3.0000
tiny,8,32,4.0000
buffeting,1,5,5.0000
tears,52,52,1.0000
tones,2,4,2.0000
horsehair,2,6,3.0000
turnover,2,8,4.0000
priest,2,10,5.0000
shawl,5,30,6.0000
creeters,1,7,7.0000
preaching,2,16,8.0000
crumpling,1,9,9.0000
profitable,5,5,1.0000
disappointments,1,2,2.0000
forbear,1,1,1.0000
cash,1,2,2.0000
gossiping,1,3,3.0000
what,475,475,1.0000
preserve,5,10,2.0000
comply,1,3,3.0000
picturesque,8,32,4.0000
printed,6,30,5.0000
anxiety,22,132,6.0000
hyacinth,1,7,7.0000
silky,1,8,8.0000
curled,1,1,1.0000
pickwick,16,32,2.0000
packets,1,3,3.0000
quiz,1,4,4.0000
compare,1,5,5.0000
behind,69,69,1.0000
invitations,2,4,2.0000
failure,10,30,3.0000
people),1,4,4.0000
ballroom,3,15,5.0000
allumettes,1,6,6.0000
cask,1,7,7.0000
convent,1,1,1.0000
squirrel,3,6,2.0000
sech,1,3,3.0000
lets,30,30,1.0000
faded,9,18,2.0000
promises,4,12,3.0000
ladies,54,216,4.0000
daily,23,23,1.0000
shopped,2,4,2.0000
admission,3,9,3.0000
fatigue,1,4,4.0000
busily,5,5,1.0000
babel,1,2,2.0000
sunset,5,15,3.0000
glasses,4,16,4.0000
brewery,1,5,5.0000
josy,3,3,1.0000
atlas,1,2,2.0000
infect,1,3,3.0000
heloise,1,4,4.0000
cheered,5,5,1.0000
crimped,1,2,2.0000
horse,19,19,1.0000
daunted,3,6,2.0000
puck,2,6,3.0000
acquaintance,5,20,4.0000
