Word,Occurrences,TotalSteps,AverageSteps
cakies,2,26,13.0000
cheap,6,6,1.0000
cover,16,32,2.0000
carefully,23,69,3.0000
maps,3,12,4.0000
godmother,2,10,5.0000
pint,1,6,6.0000
exclaim,5,35,7.0000
beginners,2,16,8.0000
brighter,2,18,9.0000
senna,1,10,10.0000
publishers,2,22,11.0000
rebelliously,3,36,12.0000
york,4,52,13.0000
piminy,1,1,1.0000
drafted,1,2,2.0000
dangers,1,3,3.0000
writers,1,4,4.0000
spell,7,35,5.0000
hired,1,6,6.0000
ups,1,7,7.0000
notice,10,80,8.0000
tearing,4,36,9.0000
heavens,2,20,10.0000
midnight,3,33,11.0000
dursnt,1,12,12.0000
dryly,1,13,13.0000
patriarch,1,14,14.0000
intellect,4,60,15.0000
orchards,1,16,16.0000
girlhood,1,17,17.0000
suffer,5,5,1.0000
choose,13,26,2.0000
doctor,14,42,3.0000
covet,1,4,4.0000
formal,4,20,5.0000
attended,1,6,6.0000
current,1,7,7.0000
frankness,5,40,8.0000
evolved,1,9,9.0000
stile,3,30,10.0000
shames,1,11,11.0000
burden,12,12,1.0000
sounded,14,28,2.0000
persons,10,30,3.0000
soiled,2,8,4.0000
injustice,2,10,5.0000
tom,2,12,6.0000
pointing,4,28,7.0000
shock,6,48,8.0000
flos,2,18,9.0000
destination,1,10,10.0000
rare,1,11,11.0000
speechless,2,2,1.0000
pegging,2,4,2.0000
cheat,3,9,3.0000
fatherless,1,4,4.0000
persisted,4,20,5.0000
shadows,2,12,6.0000
evelyn,1,7,7.0000
scribbling,4,32,8.0000
diary,1,9,9.0000
intended,4,40,10.0000
dollar,5,5,1.0000
too,198,396,2.0000
waited,20,60,3.0000
dictionaries,1,4,4.0000
disgusted,7,35,5.0000
claws,1,6,6.0000
outcry,1,7,7.0000
prudence,2,16,8.0000
ordained,1,9,9.0000
developed,2,20,10.0000
embers,1,11,11.0000
dats,1,12,12.0000
excellently,6,6,1.0000
rehearsal,2,4,2.0000
top,11,33,3.0000
meekly,9,36,4.0000
tweaked,2,10,5.0000
newly,4,24,6.0000
banishing,1,7,7.0000
underlies,1,8,8.0000
coldness,1,9,9.0000
inventor,1,10,10.0000
gloves,29,29,1.0000
flow,3,6,2.0000
pancakes,1,3,3.0000
tripped,2,8,4.0000
tempest,2,10,5.0000
bathed,1,6,6.0000
starched,2,14,7.0000
blazed,2,16,8.0000
objected,3,27,9.0000
tuileries,1,10,10.0000
ethereal,2,22,11.0000
thinner,1,12,12.0000
bye,2,26,13.0000
capture,1,14,14.0000
policy,1,15,15.0000
share,13,13,1.0000
written,19,38,2.0000
consented,7,21,3.0000
adding,15,60,4.0000
escape,9,45,5.0000
brings,5,30,6.0000
lumbering,2,14,7.0000
ventured,1,8,8.0000
proving,4,36,9.0000
denounced,1,10,10.0000
reposing,1,11,11.0000
verb,1,12,12.0000
recollect,1,13,13.0000
still,94,94,1.0000
names,10,20,2.0000
phine,3,9,3.0000
palace,5,20,4.0000
privately,7,35,5.0000
semioccasional,1,6,6.0000
estimate,1,7,7.0000
foibles,1,8,8.0000
awhile,1,9,9.0000
shadowy,3,3,1.0000
croaked,3,6,2.0000
patience,34,102,3.0000
strength,14,56,4.0000
confessing,1,5,5.0000
benefactor,1,6,6.0000
industrious,2,14,7.0000
viciously,1,8,8.0000
conquering,3,27,9.0000
tenders,1,10,10.0000
dignity,14,14,1.0000
blue,65,130,2.0000
waving,8,24,3.0000
les,1,4,4.0000
slowly,33,165,5.0000
attracts,1,6,6.0000
vere,1,7,7.0000
endeared,2,16,8.0000
telegrams,2,18,9.0000
graciously,8,80,10.0000
leisurely,4,44,11.0000
treadmill,1,12,12.0000
oil,2,26,13.0000
hymn,4,56,14.0000
